title,equipment
stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-venge-poperechnyi,"Задвижка: Apecs, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-venge-poperechnyi/zadvijka_apecs_hrom_1.jpg; Броненакладка: Врезная, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-venge-poperechnyi/bronia_vr_hrom_1.jpg; Конструкция: Cенатор, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-venge-poperechnyi/imgcatalog_constrType_senator_1.jpg; Ручки: Rezident 26, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-venge-poperechnyi/ruchka_rezident26_hrom_1.jpg; Глазок: Apecs, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-venge-poperechnyi/glazok_apecs_hrom_1.jpg; Замок основной: Kale 252, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-venge-poperechnyi/imgcatalog_zamok_kale252_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-venge-poperechnyi/cilindr_universal_kv_hrom_1.jpg; Замок дополнительный: Border ЗВ 8-6 К5, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-venge-poperechnyi/imgcatalog_zamok_border_3v8_6k5_1.jpg"
dver-labirint-royal-25-tsvet-belyi-soft,"Замок дополнительный: Kale 257, media/doors_equip/dver-labirint-royal-25-tsvet-belyi-soft/imgcatalog_zamok_kale257_1.jpg; Конструкция: Лабиринт Piano, media/doors_equip/dver-labirint-royal-25-tsvet-belyi-soft/imgcatalog_constrType_labirint_piano_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/dver-labirint-royal-25-tsvet-belyi-soft/cilindr_universal_kv_black_1.jpg; Задвижка: Чёрная квадратная, media/doors_equip/dver-labirint-royal-25-tsvet-belyi-soft/zadvijka_qrblack_black_1.jpg; Броненакладка: Врезная, media/doors_equip/dver-labirint-royal-25-tsvet-belyi-soft/bronia_vr_black_1.jpg; Замок основной: Kale 252, media/doors_equip/dver-labirint-royal-25-tsvet-belyi-soft/imgcatalog_zamok_kale252_1.jpg; Глазок: Apecs, media/doors_equip/dver-labirint-royal-25-tsvet-belyi-soft/glazok_apecs_black_1.jpg"
dver-labirint-beton-24-tsvet-beton-svetlyi,"Глазок: Apecs, media/doors_equip/dver-labirint-beton-24-tsvet-beton-svetlyi/glazok_apecs_hrom_1.jpg; Замок основной: Kale 252, media/doors_equip/dver-labirint-beton-24-tsvet-beton-svetlyi/imgcatalog_zamok_kale252_1.jpg; Конструкция: Лабиринт BETON, media/doors_equip/dver-labirint-beton-24-tsvet-beton-svetlyi/imgcatalog_constrType_labirint_beton_1.jpg; Броненакладка: Врезная Rezident, media/doors_equip/dver-labirint-beton-24-tsvet-beton-svetlyi/bronia_rezident_vr_hrom_1.jpg; Замок дополнительный: Border ЗВ 8-6 К5Т, media/doors_equip/dver-labirint-beton-24-tsvet-beton-svetlyi/imgcatalog_zamok_boder3b86k5t_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/dver-labirint-beton-24-tsvet-beton-svetlyi/cilindr_universal_kv_hrom_1.jpg; Задвижка: Apecs, media/doors_equip/dver-labirint-beton-24-tsvet-beton-svetlyi/zadvijka_apecs_hrom_1.jpg; Ручки: H-0593, media/doors_equip/dver-labirint-beton-24-tsvet-beton-svetlyi/imgcatalog_ruchka_h0593_1.jpg"
dver-regidoors-flagman-monarkh-z,"Замок дополнительный: Гардиан 32.01, media/doors_equip/dver-regidoors-flagman-monarkh-z/imgcatalog_zamok_gardian3201_1.jpg; Конструкция: Falko конструктор, media/doors_equip/dver-regidoors-flagman-monarkh-z/imgcatalog_constrType_falko_1.jpg; Глазок: Глазок со шторкой, media/doors_equip/dver-regidoors-flagman-monarkh-z/glazok_kvadro_hrom_1.jpg; Наполнение: Минплита высокой плотности в сочетании с пробковым изолятором и сплошным листом изолона, media/doors_equip/dver-regidoors-flagman-monarkh-z/imgcatalog_uteplitel_falko_1.jpg; Замок основной: Гардиан 32.21, media/doors_equip/dver-regidoors-flagman-monarkh-z/imgcatalog_zamok_gardian3221_1.jpg"
dver-labirint-urban-13-tsvet-belyi-soft,"Замок дополнительный: Border ЗВ 8-6 К5, media/doors_equip/dver-labirint-urban-13-tsvet-belyi-soft/imgcatalog_zamok_border_3v8_6k5_1.jpg; Ручки: Rezident 28, media/doors_equip/dver-labirint-urban-13-tsvet-belyi-soft/ruchka_rezident28_hrom_1.jpg; Глазок: Apecs, media/doors_equip/dver-labirint-urban-13-tsvet-belyi-soft/glazok_apecs_hrom_1.jpg; Конструкция: Лабиринт Urban, media/doors_equip/dver-labirint-urban-13-tsvet-belyi-soft/imgcatalog_constrType_labirint_urban_1.jpg; Броненакладка: Врезная, media/doors_equip/dver-labirint-urban-13-tsvet-belyi-soft/bronia_vr_hrom_1.jpg; Задвижка: Apecs, media/doors_equip/dver-labirint-urban-13-tsvet-belyi-soft/zadvijka_apecs_hrom_1.jpg; Замок основной: Гардиан 32.11, media/doors_equip/dver-labirint-urban-13-tsvet-belyi-soft/imgcatalog_zamok_gardian3211_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/dver-labirint-urban-13-tsvet-belyi-soft/cilindr_universal_kv_hrom_1.jpg"
stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-sandal-belyi,"Ручки: Rezident 26, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-sandal-belyi/ruchka_rezident26_hrom_1.jpg; Конструкция: Cенатор, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-sandal-belyi/imgcatalog_constrType_senator_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-sandal-belyi/cilindr_universal_kv_hrom_1.jpg; Броненакладка: Врезная, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-sandal-belyi/bronia_vr_hrom_1.jpg; Замок дополнительный: Border ЗВ 8-6 К5, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-sandal-belyi/imgcatalog_zamok_border_3v8_6k5_1.jpg; Глазок: Apecs, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-sandal-belyi/glazok_apecs_hrom_1.jpg; Замок основной: Kale 252, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-sandal-belyi/imgcatalog_zamok_kale252_1.jpg; Задвижка: Apecs, media/doors_equip/stalnaia-dver-praktik-3k-cerebro-sb-14-tsvet-sandal-belyi/zadvijka_apecs_hrom_1.jpg"
dver-leks-1a-s-paneliu-82-beton-temnyi,"Глазок: Apecs, media/doors_equip/dver-leks-1a-s-paneliu-82-beton-temnyi/glazok_apecs_hrom_1.jpg; Ручки: Punto Alfa, media/doors_equip/dver-leks-1a-s-paneliu-82-beton-temnyi/ruchka_punto_alfa_hrom_1.jpg; Замок дополнительный: Гардиан 30.01, media/doors_equip/dver-leks-1a-s-paneliu-82-beton-temnyi/imgcatalog_zamok_gardian3001_1.jpg; Задвижка: Rezident, media/doors_equip/dver-leks-1a-s-paneliu-82-beton-temnyi/zadvijka_rezident_hrom_1.jpg; Замок основной: Гардиан 32.11, media/doors_equip/dver-leks-1a-s-paneliu-82-beton-temnyi/imgcatalog_zamok_gardian3211_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/dver-leks-1a-s-paneliu-82-beton-temnyi/cilindr_universal_kv_hrom_1.jpg; Броненакладка: Накладная Kale, media/doors_equip/dver-leks-1a-s-paneliu-82-beton-temnyi/bronia_kale_nak_hrom_1.jpg; Конструкция: Лекс, media/doors_equip/dver-leks-1a-s-paneliu-82-beton-temnyi/imgcatalog_constrType_lex_1.jpg"
dver-rex-13-titan-fl-33-tsvet-silk-snou,"Конструкция: Cенатор, media/doors_equip/dver-rex-13-titan-fl-33-tsvet-silk-snou/imgcatalog_constrType_senator_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/dver-rex-13-titan-fl-33-tsvet-silk-snou/cilindr_universal_kv_hrom_1.jpg; Броненакладка: Врезная, media/doors_equip/dver-rex-13-titan-fl-33-tsvet-silk-snou/bronia_vr_hrom_1.jpg; Замок основной: Kale 252, media/doors_equip/dver-rex-13-titan-fl-33-tsvet-silk-snou/imgcatalog_zamok_kale252_1.jpg; Замок дополнительный: Border ЗВ 8-6 К5, media/doors_equip/dver-rex-13-titan-fl-33-tsvet-silk-snou/imgcatalog_zamok_border_3v8_6k5_1.jpg; Глазок: Apecs, media/doors_equip/dver-rex-13-titan-fl-33-tsvet-silk-snou/glazok_apecs_hrom_1.jpg; Ручки: Rezident 26, media/doors_equip/dver-rex-13-titan-fl-33-tsvet-silk-snou/ruchka_rezident26_hrom_1.jpg; Задвижка: Apecs, media/doors_equip/dver-rex-13-titan-fl-33-tsvet-silk-snou/zadvijka_apecs_hrom_1.jpg"
dver-labirint-lain-white-19-tsvet-belyi-soft,"Ручки: H-0593, media/doors_equip/dver-labirint-lain-white-19-tsvet-belyi-soft/imgcatalog_ruchka_h0593_1.jpg; Замок основной: Гардиан 32.11, media/doors_equip/dver-labirint-lain-white-19-tsvet-belyi-soft/imgcatalog_zamok_gardian3211_1.jpg; Задвижка: Apecs, media/doors_equip/dver-labirint-lain-white-19-tsvet-belyi-soft/zadvijka_apecs_hrom_1.jpg; Конструкция: Лабиринт Line White, media/doors_equip/dver-labirint-lain-white-19-tsvet-belyi-soft/imgcatalog_constrType_labirint_white_1.jpg; Глазок: Apecs, media/doors_equip/dver-labirint-lain-white-19-tsvet-belyi-soft/glazok_apecs_hrom_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/dver-labirint-lain-white-19-tsvet-belyi-soft/cilindr_universal_kv_hrom_1.jpg; Замок дополнительный: Border ЗВ 8-6 К5Т, media/doors_equip/dver-labirint-lain-white-19-tsvet-belyi-soft/imgcatalog_zamok_boder3b86k5t_1.jpg; Броненакладка: Врезная Rezident, media/doors_equip/dver-labirint-lain-white-19-tsvet-belyi-soft/bronia_rezident_vr_hrom_1.jpg"
dver-rex-1a-khrom-tsvet-venge,"Глазок: Apecs, media/doors_equip/dver-rex-1a-khrom-tsvet-venge/glazok_apecs_hrom_1.jpg; Броненакладка: Накладная Kale, media/doors_equip/dver-rex-1a-khrom-tsvet-venge/bronia_kale_nak_hrom_1.jpg; Замок основной: Гардиан 32.11, media/doors_equip/dver-rex-1a-khrom-tsvet-venge/imgcatalog_zamok_gardian3211_1.jpg; Замок дополнительный: Гардиан 30.01, media/doors_equip/dver-rex-1a-khrom-tsvet-venge/imgcatalog_zamok_gardian3001_1.jpg; Задвижка: Rezident, media/doors_equip/dver-rex-1a-khrom-tsvet-venge/zadvijka_rezident_hrom_1.jpg; Конструкция: Rex, media/doors_equip/dver-rex-1a-khrom-tsvet-venge/imgcatalog_constrType_rex_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/dver-rex-1a-khrom-tsvet-venge/cilindr_universal_kv_hrom_1.jpg; Ручки: Rezident 26, media/doors_equip/dver-rex-1a-khrom-tsvet-venge/ruchka_rezident26_hrom_1.jpg"
dver-strazh-dvustvorchataia-steel,"Ручки: РФ.14, media/doors_equip/dver-strazh-dvustvorchataia-steel/imgcatalog_ruchka_rf_14_1.jpg; Глазок: Apecs, media/doors_equip/dver-strazh-dvustvorchataia-steel/glazok_apecs_hrom_1.jpg; Замок основной: Просам ЗВ 4-31/55, media/doors_equip/dver-strazh-dvustvorchataia-steel/imgcatalog_zamok_prosam3v4_3155_1.jpg"
dver-labirint-versal-s-zerkalom-maksimum-tsvet-belyi-soft,"Задвижка: Apecs, media/doors_equip/dver-labirint-versal-s-zerkalom-maksimum-tsvet-belyi-soft/zadvijka_apecs_hrom_1.jpg; Замок основной: Гардиан 32.11, media/doors_equip/dver-labirint-versal-s-zerkalom-maksimum-tsvet-belyi-soft/imgcatalog_zamok_gardian3211_1.jpg; Ручки: H-0593, media/doors_equip/dver-labirint-versal-s-zerkalom-maksimum-tsvet-belyi-soft/imgcatalog_ruchka_h0593_1.jpg; Глазок: Apecs, media/doors_equip/dver-labirint-versal-s-zerkalom-maksimum-tsvet-belyi-soft/glazok_apecs_hrom_1.jpg; Конструкция: Лабиринт 3КМ, media/doors_equip/dver-labirint-versal-s-zerkalom-maksimum-tsvet-belyi-soft/imgcatalog_constrType_labirint_silver_1.jpg; Броненакладка: Врезная, media/doors_equip/dver-labirint-versal-s-zerkalom-maksimum-tsvet-belyi-soft/bronia_vr_hrom_1.jpg; Замок дополнительный: Border ЗВ 8-6 К5Т, media/doors_equip/dver-labirint-versal-s-zerkalom-maksimum-tsvet-belyi-soft/imgcatalog_zamok_boder3b86k5t_1.jpg; Цилиндр: перфорированный ключ-вертушка, media/doors_equip/dver-labirint-versal-s-zerkalom-maksimum-tsvet-belyi-soft/cilindr_universal_kv_hrom_1.jpg"
